RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport,year
1,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,2019-03-17 00:00:00,Australian Grand Prix,conventional,Practice 1,2019-03-15 12:00:00+11:00,2019-03-15 01:00:00,Practice 2,2019-03-15 16:00:00+11:00,2019-03-15 05:00:00,Practice 3,2019-03-16 14:00:00+11:00,2019-03-16 03:00:00,Qualifying,2019-03-16 17:00:00+11:00,2019-03-16 06:00:00,Race,2019-03-17 16:10:00+11:00,2019-03-17 05:10:00,True,2019
2,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,2019-03-31 00:00:00,Bahrain Grand Prix,conventional,Practice 1,2019-03-29 14:00:00+03:00,2019-03-29 11:00:00,Practice 2,2019-03-29 18:00:00+03:00,2019-03-29 15:00:00,Practice 3,2019-03-30 15:00:00+03:00,2019-03-30 12:00:00,Qualifying,2019-03-30 18:00:00+03:00,2019-03-30 15:00:00,Race,2019-03-31 18:10:00+03:00,2019-03-31 15:10:00,True,2019
3,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2019,2019-04-14 00:00:00,Chinese Grand Prix,conventional,Practice 1,2019-04-12 10:00:00+08:00,2019-04-12 02:00:00,Practice 2,2019-04-12 14:00:00+08:00,2019-04-12 06:00:00,Practice 3,2019-04-13 11:00:00+08:00,2019-04-13 03:00:00,Qualifying,2019-04-13 14:00:00+08:00,2019-04-13 06:00:00,Race,2019-04-14 14:10:00+08:00,2019-04-14 06:10:00,True,2019
4,Azerbaijan,Baku,FORMULA 1 SOCAR AZERBAIJAN GRAND PRIX 2019,2019-04-28 00:00:00,Azerbaijan Grand Prix,conventional,Practice 1,2019-04-26 13:00:00+04:00,2019-04-26 09:00:00,Practice 2,2019-04-26 17:00:00+04:00,2019-04-26 13:00:00,Practice 3,2019-04-27 14:00:00+04:00,2019-04-27 10:00:00,Qualifying,2019-04-27 17:00:00+04:00,2019-04-27 13:00:00,Race,2019-04-28 16:10:00+04:00,2019-04-28 12:10:00,True,2019
5,Spain,Barcelona,FORMULA 1 EMIRATES GRAN PREMIO DE ESPAÑA 2019,2019-05-12 00:00:00,Spanish Grand Prix,conventional,Practice 1,2019-05-10 11:00:00+02:00,2019-05-10 09:00:00,Practice 2,2019-05-10 15:00:00+02:00,2019-05-10 13:00:00,Practice 3,2019-05-11 12:00:00+02:00,2019-05-11 10:00:00,Qualifying,2019-05-11 15:00:00+02:00,2019-05-11 13:00:00,Race,2019-05-12 15:10:00+02:00,2019-05-12 13:10:00,True,2019
6,Monaco,Monte Carlo,FORMULA 1 GRAND PRIX DE MONACO 2019,2019-05-26 00:00:00,Monaco Grand Prix,conventional,Practice 1,2019-05-23 11:00:00+02:00,2019-05-23 09:00:00,Practice 2,2019-05-23 15:00:00+02:00,2019-05-23 13:00:00,Practice 3,2019-05-25 12:00:00+02:00,2019-05-25 10:00:00,Qualifying,2019-05-25 15:00:00+02:00,2019-05-25 13:00:00,Race,2019-05-26 15:10:00+02:00,2019-05-26 13:10:00,True,2019
7,Canada,Montréal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2019,2019-06-09 00:00:00,Canadian Grand Prix,conventional,Practice 1,2019-06-07 10:00:00-04:00,2019-06-07 14:00:00,Practice 2,2019-06-07 14:00:00-04:00,2019-06-07 18:00:00,Practice 3,2019-06-08 11:00:00-04:00,2019-06-08 15:00:00,Qualifying,2019-06-08 14:00:00-04:00,2019-06-08 18:00:00,Race,2019-06-09 14:10:00-04:00,2019-06-09 18:10:00,True,2019
8,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2019,2019-06-23 00:00:00,French Grand Prix,conventional,Practice 1,2019-06-21 11:00:00+02:00,2019-06-21 09:00:00,Practice 2,2019-06-21 15:00:00+02:00,2019-06-21 13:00:00,Practice 3,2019-06-22 12:00:00+02:00,2019-06-22 10:00:00,Qualifying,2019-06-22 15:00:00+02:00,2019-06-22 13:00:00,Race,2019-06-23 15:10:00+02:00,2019-06-23 13:10:00,True,2019
9,Austria,Spielberg,FORMULA 1 MYWORLD GROSSER PREIS VON ÖSTERREICH 2019,2019-06-30 00:00:00,Austrian Grand Prix,conventional,Practice 1,2019-06-28 11:00:00+02:00,2019-06-28 09:00:00,Practice 2,2019-06-28 15:00:00+02:00,2019-06-28 13:00:00,Practice 3,2019-06-29 12:00:00+02:00,2019-06-29 10:00:00,Qualifying,2019-06-29 15:00:00+02:00,2019-06-29 13:00:00,Race,2019-06-30 15:10:00+02:00,2019-06-30 13:10:00,True,2019
10,Great Britain,Silverstone,FORMULA 1 ROLEX BRITISH GRAND PRIX 2019,2019-07-14 00:00:00,British Grand Prix,conventional,Practice 1,2019-07-12 10:00:00+01:00,2019-07-12 09:00:00,Practice 2,2019-07-12 14:00:00+01:00,2019-07-12 13:00:00,Practice 3,2019-07-13 11:00:00+01:00,2019-07-13 10:00:00,Qualifying,2019-07-13 14:00:00+01:00,2019-07-13 13:00:00,Race,2019-07-14 14:10:00+01:00,2019-07-14 13:10:00,True,2019
11,Germany,Hockenheim,FORMULA 1 MERCEDES-BENZ GROSSER PREIS VON DEUTSCHLAND 2019,2019-07-28 00:00:00,German Grand Prix,conventional,Practice 1,2019-07-26 11:00:00+02:00,2019-07-26 09:00:00,Practice 2,2019-07-26 15:00:00+02:00,2019-07-26 13:00:00,Practice 3,2019-07-27 12:00:00+02:00,2019-07-27 10:00:00,Qualifying,2019-07-27 15:00:00+02:00,2019-07-27 13:00:00,Race,2019-07-28 15:10:00+02:00,2019-07-28 13:10:00,True,2019
12,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,2019-08-04 00:00:00,Hungarian Grand Prix,conventional,Practice 1,2019-08-02 11:00:00+02:00,2019-08-02 09:00:00,Practice 2,2019-08-02 15:00:00+02:00,2019-08-02 13:00:00,Practice 3,2019-08-03 12:00:00+02:00,2019-08-03 10:00:00,Qualifying,2019-08-03 15:00:00+02:00,2019-08-03 13:00:00,Race,2019-08-04 15:10:00+02:00,2019-08-04 13:10:00,True,2019
13,Belgium,Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019,2019-09-01 00:00:00,Belgian Grand Prix,conventional,Practice 1,2019-08-30 11:00:00+02:00,2019-08-30 09:00:00,Practice 2,2019-08-30 15:00:00+02:00,2019-08-30 13:00:00,Practice 3,2019-08-31 12:00:00+02:00,2019-08-31 10:00:00,Qualifying,2019-08-31 15:00:00+02:00,2019-08-31 13:00:00,Race,2019-09-01 15:10:00+02:00,2019-09-01 13:10:00,True,2019
14,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,2019-09-08 00:00:00,Italian Grand Prix,conventional,Practice 1,2019-09-06 11:00:00+02:00,2019-09-06 09:00:00,Practice 2,2019-09-06 15:00:00+02:00,2019-09-06 13:00:00,Practice 3,2019-09-07 12:00:00+02:00,2019-09-07 10:00:00,Qualifying,2019-09-07 15:00:00+02:00,2019-09-07 13:00:00,Race,2019-09-08 15:10:00+02:00,2019-09-08 13:10:00,True,2019
15,Singapore,Singapore,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2019,2019-09-22 00:00:00,Singapore Grand Prix,conventional,Practice 1,2019-09-20 16:30:00+08:00,2019-09-20 08:30:00,Practice 2,2019-09-20 20:30:00+08:00,2019-09-20 12:30:00,Practice 3,2019-09-21 18:00:00+08:00,2019-09-21 10:00:00,Qualifying,2019-09-21 21:00:00+08:00,2019-09-21 13:00:00,Race,2019-09-22 20:10:00+08:00,2019-09-22 12:10:00,True,2019
16,Russia,Sochi,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,2019-09-29 00:00:00,Russian Grand Prix,conventional,Practice 1,2019-09-27 11:00:00+03:00,2019-09-27 08:00:00,Practice 2,2019-09-27 15:00:00+03:00,2019-09-27 12:00:00,Practice 3,2019-09-28 12:00:00+03:00,2019-09-28 09:00:00,Qualifying,2019-09-28 15:00:00+03:00,2019-09-28 12:00:00,Race,2019-09-29 14:10:00+03:00,2019-09-29 11:10:00,True,2019
17,Japan,Suzuka,FORMULA 1 JAPANESE GRAND PRIX 2019,2019-10-13 00:00:00,Japanese Grand Prix,conventional,Practice 1,2019-10-11 10:00:00+09:00,2019-10-11 01:00:00,Practice 2,2019-10-11 14:00:00+09:00,2019-10-11 05:00:00,Practice 3,2019-10-12 12:00:00+09:00,2019-10-12 03:00:00,Qualifying,2019-10-13 10:00:00+09:00,2019-10-13 01:00:00,Race,2019-10-13 14:10:00+09:00,2019-10-13 05:10:00,True,2019
18,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,2019-10-27 00:00:00,Mexican Grand Prix,conventional,Practice 1,2019-10-25 10:00:00-06:00,2019-10-25 16:00:00,Practice 2,2019-10-25 14:00:00-06:00,2019-10-25 20:00:00,Practice 3,2019-10-26 10:00:00-06:00,2019-10-26 16:00:00,Qualifying,2019-10-26 13:00:00-06:00,2019-10-26 19:00:00,Race,2019-10-27 13:10:00-06:00,2019-10-27 19:10:00,True,2019
